MID,IncidentID,SourceName,Date,SourceInfo
3552,3552009,LONGD,1/14/93,"1/14/93, p. 1"
3552,3552009,The Plain Dealer,1/16/93,"1/16/93, p. 1A"
3552,3552009,KEES,1993,"1993, vol. 39, no. 1, p. 39291-39292"
3552,3552014,NYT,1/18/93,"1/18/93, p. A1, A8"
3552,3552014,LONTIMS,1/18/93,"1/18/93, p. 1"
3552,3552014,LONTIMS,1/19/93,"1/19/93, p. 1,3"
3552,3552014,NYT,1/19/93,"1/19/93, p. A1, A8"
3552,3552014,NYT,1/20/93,"1/20/93, p. A1"
3552,3552014,LATIMS,1/19/93,"1/19/93, p. 1"
3552,3552014,The Houston Chronicle,1/17/93,"1/17/93, p. 22"
3552,3552014,The Scotsman Publications,1/17/93,"1/17/93, L/N no page given"
3552,3552014,LATIMS,1/19/93,"1/19/93, p. A1"
3552,3552014,Chicago Sun Times,1/19/93,"1/19/93, p. 16"
3552,3552014,TSTAR,1/19/93,"1/19/93, p. A1"
3552,3552014,LONTIMS,1/20/93,"1/20/93, p. 1"
3552,3552014,KEES,1993,"1993, vol 39 no 1 p. 39291-39292"
3552,3552014,FOF,1/23/93,1/23/93. FOF online: http://www.2facts.com/stories/index/1993052551.asp
3552,3552014,CNN,1/17/93,1/17/93.
3555,*,BBC summary of World Broadcasts,,"""Further violations of cease-fire in Croatia reported"""
3555,3555002,BBC summary of World Broadcasts,1/25/92,"""Battlefronts mostly quiet in Croatia, protest over Yugoslav warplane flights"""
3555,3555003,UPI,2/28/92,"""Truce violations leave casualties"""
3555,3555003,The Associated Press,2/29/92,"""Tense Bodnia holds independence vote"""
3555,3555003,BBC summary of World Broadcasts,2/27/92,"""Cease-fire violations around Croatia"""
3555,3555004,The Associated Press,3/7/92,"""Artillery fire erupts anew in scattered parts of Croatia"""
3555,3555004,BBC summary of World Broadcasts,3/10/92,"""Firghting reported on several fronts throughout Croatia"""
3555,3555004,UPI,3/8/92,"""Serbian, Croatian forces clash prior to arrival of UN peace keepers"""
3555,3555004,BBC summary of World Broadcasts,3/18/92,"""Ceasefire violations in Croatia, EC observers unhurt"""
3555,3555004,The Toronto Star,3/9/92,"""Lethal attacks shatters truce as peacekeepers visit Belgrade"""
3555,3555004,BBC summary of World Broadcasts - Yugoslav News Agency,3/18/92,"""Two JNA reservists reported wounded in attack by Croats on Kaonik"""
3555,3555004,The Independent,3/21/92,"""Fighting resumes"""
3555,3555004,BBC summary of World Broadcasts,3/21/92,"""Croats reportedly launch heavy artillery attacks in Western Slavona"""
3555,3555004,UPI,3/23/92,"""New ethnic clashes in Bosnia-Herzegovina: Ceasefire breaches in Croatia"""
3555,3555004,The Associated Press,3/23/92,"""Bosnian, Croatian fighting claims more lives"""
3555,3555004,The Independent,3/24/92,"""Fighting flares in Croatia and Bosnia"""
3555,3555004,The Associated Press,3/24/92,"""At least seven dead in heavy fighting"""
3555,3555004,UPI,3/25/92,"""New clashes in B-H; truce breaches in Croatia"""
3555,3555004,Lloyd's list International,3/25/92,"""Bosnia clashes"""
3555,3555004,BBC summary of World Broadcasts,3/26/92,"""More fighting in B-H and Croatia"""
3555,3555004,BBC summary of World Broadcasts,3/27/92,"""More fighting in Croatia, six killed in Osijek"""
3555,3555004,The Toronto Star,4/1/92,"""Bosnia erupts in fighting despite truce"""
3555,3555004,The Associated Press,4/1/92,"""Tensions continue high with incidents in Bosnia"""
3555,3555004,BBC summary of World Broadcasts,4/3/93,"""Yugoslav-Croatian conflict in brief"""
3555,3555004,The Associated Press,4/3/93,"""Serbs fighting on several fronts in Croatia, B-H"""
3555,3555004,UPI,4/4/92,"""Yugoslav hostilities flare as UN forces arrive"""
3555,3555004,The New York Times,4/4/92,"""Serbs attack Muslim Slavs and Croats in Bosnia"""
3555,3555004,The New York Times,4/5/92,"""Bosnia calls up Guard ans reserve"""
3555,3555004,Agence France Presse,4/5/92,"""News summary; advisory"""
3555,3555004,BBC summary of World Broadcasts,4/6/92,"""Intense fighting on the Eastern Slavonian battlefields"""
3555,3555004,UPI,4/7/92,"""Fighting breaks out in Sarajevo"""
3555,3555004,Agence France Presse,4/5/92,"""Five more dead in Croatia clashes"""
3555,3555001,Associated Press.,4/12/92,"April 12, 1992, Sunday, AM cycle."
3555,3555002,Agence France Presse.,4/22/92,"April 22, 1992.  News."
3555,3555003,Toronto Star.,4/24/92,"April 24, 1992. News; A1."
3555,3555004,Financial Times (London),4/25/92,"April 25, 1992. Page 2."
3555,3555005,BBC Summary of World Broadcasts,7/11/92,"July 11, 1992.  Part 2 Eastern Europe."
